,clean_sentence,clean_token,ref_type,original_ref_type
403,seizing one butterflies either sex pushes fourth fifth segment abdomen two hemispherical protuberances producing disagreeable odour male second pair fifth sixth segments abdomen different musklike odour produced black spot beneath front wings,musklike disagreeable two hemispherical protuberances black spot beneath front wings odour odour,Olfactive,Quality
598,haue nine ten seuerall colours diuers big roses flowers saue damaske rose pleasant sight smell last not past three foure yeeres vnremoued,pleasant smell,Olfactive,Quality
138,organ smell irritated perfume lacrymal sack empties nostrils explained increase tears poured eyes,perfume,Olfactive,Quality
294,niieke mentions colleague informed prostitute several clients desired odor new shoes room accustomed obtain desired perfume holding shoes moment flame spirit lamp,desired new shoes odor perfume,Olfactive,Quality
520,readily seen nighttime favourable retention scent evaporation not take place rapidly course shown dogs especially useful time,scent,Olfactive,Quality
37,men making manure open vessels smell street offensive remarks thereon uttered almost every passenger,offensive manure open vessels smell,Olfactive,Quality
543,closet stink like pothecaries shop drugs medicines administer sick neighbours spoil next quacks practice receipt book belongs family,like pothecaries shop drugs medicines closet stink,Olfactive,Quality
406,passing burnet kind like incarnation union night day males exotic glaucopidae two long retractable filaments generally beset hairs ventral side abdomen sometimes emitting strong odour,strong hairs odour,Olfactive,Quality
509,invariably based coumarin modified lavender bergamot perfumes according exact note perfumer wishes give product,lavender bergamot perfumes,Olfactive,Quality
586,indol methyl indol skatol commonly formed native proteins peptones absence carbohydrates many organisms,indol methyl indol skatol,Olfactive,Quality
84,concrete gummy substance strong faetid smell resembling onions rather shallots small drops tears packt forms massy lump,onions shallots strong faetid smell,Olfactive,Quality
112,pale yellowish wood pleasant smell bitterish aromatic taste leaves agreeable kind pungency generally brought large thick logs care taken quite sound solid,pleasant smell,Olfactive,Quality
345,remarks refer chiefly cases pulmonary fetor changes structure observed,pulmonary fetor,Olfactive,Quality
569,inconvenience wine becomes heady elder flowers added clary remedy also betters fragancy thereof ’ tis manifest eldervinegar flowers apt make wine ropy,elder flowers fragancy,Olfactive,Quality
531,however difference odours difference not perceptible senses only practical point requiring notice diluted odour bitter almonds would probably pronounced many persons indicate presence prussic acid especially existed suspicion violent death,prussic acid diluted bitter almonds odours odour,Olfactive,Quality
203,aromatickastringents aromaticks cordial astringency strengthen fibres stomach membranes nervous parts acid evident astringency hinder greater rarefaction blood fragrant pungent oyl,fragrant pungent aromatickastringents oyl,Olfactive,Quality
493,spanish snuff fine redish colour imitate nicely take best dutch snuff well cleansed granulated coloured red beat fine sift fine lawn sieve,best dutch snuff,Olfactive,Quality
558,burn incense no breath might smell,incense smell,Olfactive,Quality
534,facts appear explain — called case poisoning acid examination body medical men perceive odour others not,odour,Olfactive,Quality
207,fetor highest degree also volatile salt admixt proved excrements animals putrefied flesh rine blood putrefied vegetables yield volatile salt,highest degree excrements animals putrefied flesh rine blood putrefied vegetables fetor,Olfactive,Quality
520,walnut crack shell release woody nutty aroma,aroma nutty walnut woody  ,Olfactive,Quality
284,boiling vinegar cleanse air acrid odor,acrid odor vinegar  ,Olfactive,Quality
512,fish tank filter emit faint algae odor,algae odor  ,Olfactive,Quality
331,charcoal smoke rise grill scent fill patio,charcoal scent smoke  ,Olfactive,Quality
210,musty smell linger forgotten cellar,musty smell  ,Olfactive,Quality
90,eucalyptus leave give sauna soothing herbal fragrance,eucalyptus fragrance  ,Olfactive,Quality
299,steamed rice release subtle nutty aroma,aroma nutty rice  ,Olfactive,Quality
181,smell strong cologne announce arrival,smell  ,Olfactive,Quality
544,honey drizzle biscuit bring floral sweet scent,floral honey scent sweet  ,Olfactive,Quality
137,fresh basil crush knife release pungent aroma,aroma basil pungent  ,Olfactive,Quality
545,soap bubble burst leave faint artificial perfume,artificial perfume soap  ,Olfactive,Quality
70,earthy bitter smell coffee bean linger,bitter coffee earthy smell  ,Olfactive,Quality
394,sack potato rot release earthy foul smell,earthy foul potato rot smell  ,Olfactive,Quality
234,wet soil smell spring rain,rain smell soil  ,Olfactive,Quality
422,ripe tomato vine emit grassy tang,grassy tang tomato  ,Olfactive,Quality
155,rainforest air thick aroma damp vegetation,aroma damp  ,Olfactive,Quality
209,old photograph smell faint ink decay,decay ink smell  ,Olfactive,Quality
371,box crayon open release waxy scent,crayon scent waxy  ,Olfactive,Quality
502,flower bouquet lily rose freesia waft perfume,freesia lily perfume rose  ,Olfactive,Quality
182,woodshop filled scent sawdust pine,pine sawdust scent  ,Olfactive,Quality
280,damp towel mildew smell laundry basket,mildew smell towel  ,Olfactive,Quality
227,jasmine flower open dusk release seductive scent,jasmine scent  ,Olfactive,Quality
2,jasmine sweet intoxicate fragrance drift moonlit garden,fragrance jasmine sweet  ,Olfactive,Quality
558,apple pie oven fill house cinnamon sugar scent,apple cinnamon scent sugar  ,Olfactive,Quality
199,coconut lotion linger beach towel,beach coconut lotion  ,Olfactive,Quality
63,market stall,  ,Olfactive,Quality
55,breeze carry sharp mineral scent mountain,scent sharp  ,Olfactive,Quality
583,old suitcase lined velvet hold scent travel mildew,mildew scent velvet  ,Olfactive,Quality
286,lavender essential oil defuse bedroom sleep,lavender oil  ,Olfactive,Quality
29,faint floral perfume cling note envelope,floral perfume  ,Olfactive,Quality
473,rose bloom morning dew release sweet scent,rose scent sweet  ,Olfactive,Quality
231,pencil shaving give woody nostalgic scent,woody scent  ,Olfactive,Quality
584,incense stick burn coil emit sweet smoky fragrance,fragrance incense smoky sweet  ,Olfactive,Quality
249,apple cider mull spice sweet scent,apple scent spice sweet  ,Olfactive,Quality
82,ripe tomato stand smell earthy fresh tangy,earthy fresh smell  ,Olfactive,Quality
320,bookstore carry scent ink paper dust,dust ink paper scent  ,Olfactive,Quality
281,scent sunscreen signal summer beach memory,scent sunscreen  ,Olfactive,Quality
176,damp dog jump couch smell fill room,dog smell  ,Olfactive,Quality
453,classroom smell dry erase marker old textbook,dry erase marker smell textbook  ,Olfactive,Quality
550,flower bouquet lily rose freesia waft perfume,freesia lily perfume rose  ,Olfactive,Quality
248,sunlight grass release fresh earthy smell,earthy fresh grass smell,Olfactive,Quality
211,tomato basil soup emit rich hearty fragrance,basil fragrance tomato  ,Olfactive,Quality
177,fried food stall exude thick greasy aroma,aroma greasy  ,Olfactive,Quality
10,diesel fume cling busy street unwelcome guest,  ,Olfactive,Quality
426,potpourri bowl living room cinnamon floral aroma,aroma cinnamon floral potpourri  ,Olfactive,Quality
524,fridge whiff stale meat onion linger,meat onion stale whiff  ,Olfactive,Quality
6,crisp clean scent pine tree refresh lung,clean crisp pine scent  ,Olfactive,Quality
488,gasoline rag left garage acrid odor,acrid gasoline odor  ,Olfactive,Quality
349,car seat hold scent sunscreen leather,leather scent sunscreen  ,Olfactive,Quality
277,grated parmesan add pungent aroma pasta,pungent aroma parmesan  ,Olfactive,Quality
145,peach tree orchard emit fruity floral fragrance,floral fragrance fruity peach  ,Olfactive,Quality
549,cinnamon roll warm tray coat kitchen scent,cinnamon kitchen scent  ,Olfactive,Quality
72,fresh paint sharp chemical tang closed room,chemical fresh sharp tang  ,Olfactive,Quality
451,alleyway reek urine garbage rot,garbage rot urine  ,Olfactive,Quality
250,burn toast emit acrid smell linger room,acrid smell toast  ,Olfactive,Quality
423,kitchen sponge give sour moldy odor,moldy odor sour sponge  ,Olfactive,Quality
101,rich smoky aroma barbecue drift backyard,aroma smoky  ,Olfactive,Quality
86,faint smell ozone hang air lightne,smell  ,Olfactive,Quality
