,Unnamed: 0,index,filename,sentence_id,sentence,token,ref_type,original_ref_type,len,clean_sentence,clean_token
403,403.0,900.0,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,22.0,"On seizing one of these butterflies of either sex , it pushes from between the fourth and fifth segment of the abdomen two hemispherical protuberances producing a disagreeable odour ; and the male has a second pair between the fifth and sixth segments of the abdomen , while a different musk-like odour is produced by a black spot beneath the front wings .",musk-like disagreeable two hemispherical protuberances by a black spot beneath the front wings odour odour,Olfactive,Evoked\_Odorant,63.0,seizing one butterflies either sex pushes fourth fifth segment abdomen two hemispherical protuberances producing disagreeable odour male second pair fifth sixth segments abdomen different musklike odour produced black spot beneath front wings,musklike disagreeable two hemispherical protuberances black spot beneath front wings odour odour
598,599.0,1370.0,085E Gervase Markham 1631 A new orchard__20_distribution_HOUS.txt,5.0,"I haue of them nine or ten seuerall colours , and diuers of them as big as Roses : of all flowers ( saue the Damaske Rose ) they are the most pleasant to sight and smell : they last not past three or foure yeeres vnremoued .",the most pleasant they smell,Olfactive,Quality,48.0,haue nine ten seuerall colours diuers big roses flowers saue damaske rose pleasant sight smell last not past three foure yeeres vnremoued,pleasant smell
138,138.0,293.0,009E Erasmus Darwin 1794 Zoonomia or the laws of organic life London 1794 ECCO TCP_MED.txt,30.0,"The organ of smell is irritated by this perfume , and the lacrymal sack empties itself into the nostrils , as before explained , and an increase of tears is poured into the eyes .",perfume,Olfactive,Smell\_Word,35.0,organ smell irritated perfume lacrymal sack empties nostrils explained increase tears poured eyes,perfume
294,294.0,689.0,016E Havelock Ellis 1905 Studies in the Psychology of Sex__1003_SCIE.txt,59.0,"Niieke mentions that a colleague of his was informed by a prostitute that several of her clients desired the odor of new shoes in the room , and that she was accustomed to obtain the desired perfume by holding her shoes for a moment over the flame of a spirit lamp .",desired of new shoes odor perfume,Olfactive,Quality,52.0,niieke mentions colleague informed prostitute several clients desired odor new shoes room accustomed obtain desired perfume holding shoes moment flame spirit lamp,desired new shoes odor perfume
520,520.0,1190.0,067E Richardson 1910 War Police and Watch Dogs__119_distribution_LAW.txt,1.0,"It will be readily seen that night-time is the most favourable for the retention of scent , as evaporation does not take place so rapidly then , and this , of course , as I have shown , is why dogs are more especially useful at this time .",scent,Olfactive,Smell\_Word,49.0,readily seen nighttime favourable retention scent evaporation not take place rapidly course shown dogs especially useful time,scent
37,37.0,82.0,006E W Murdoch 1858 Report of the Medical Officer of Health for Rotherhithe 1857  Wellcome Londons Pulse database_PUB.txt,296.0,"The men were making manure in open vessels , and the smell in the street was so offensive , that remarks thereon were uttered by almost every passenger .",so offensive manure in open vessels smell,Olfactive,Quality,29.0,men making manure open vessels smell street offensive remarks thereon uttered almost every passenger,offensive manure open vessels smell
543,543.0,1238.0,070E Thomas Shadwell 1673 Epsom wells__16_distribution_THE.txt,13.0,"To have my Closet stink like a Pothecaries shop with Drugs and Medicines , to administer to my sick Neighbours ; and spoil the next Quacks practice with the receipt book that belongs to the family .",like a Pothecaries shop with Drugs and Medicines Closet stink,Olfactive,Evoked\_Odorant,37.0,closet stink like pothecaries shop drugs medicines administer sick neighbours spoil next quacks practice receipt book belongs family,like pothecaries shop drugs medicines closet stink
406,406.0,908.0,020E A H Swinton 1880 Insect Variety__210_SCIE.txt,26.0,"Passing to the Burnet kind , a like incarnation of the union of night and day , the males of exotic Glaucopidae have two long retractable filaments , generally beset with hairs , on the ventral side of the abdomen , sometimes emitting a strong odour .",strong hairs odour,Olfactive,Quality,47.0,passing burnet kind like incarnation union night day males exotic glaucopidae two long retractable filaments generally beset hairs ventral side abdomen sometimes emitting strong odour,strong hairs odour
509,509.0,1160.0,065E Ernest J Parry 1925 Parry's Cyclopedia of Perfumery__1321_distribution_PER.txt,5.0,"It is invariably based on coumarin , modified by lavender , bergamot , and other perfumes , according to the exact note the perfumer wishes to give to his product .",other lavender bergamot perfumes,Olfactive,Quality,31.0,invariably based coumarin modified lavender bergamot perfumes according exact note perfumer wishes give product,lavender bergamot perfumes
586,587.0,1344.0,083E Estelle D Buchanan 1913 Household bacteriology__75_distribution_HOUS.txt,12.0,Indol and methyl indol or skatol are commonly formed from native proteins or peptones in the absence of carbohydrates by many organisms .,Indol and methyl indol or skatol,Olfactive,Smell\_Source,23.0,indol methyl indol skatol commonly formed native proteins peptones absence carbohydrates many organisms,indol methyl indol skatol
