,clean_sentence,clean_token,ref_type,original_ref_type
450,also proper perfume distinguishing smell urine,urine proper distinguishing perfume smell,Olfactive,Quality
577,prawns shrimps hard stiff pleasant scent tails turned strongly inward new limber colour faded faint smell feel slimy stale,pleasant faint prawns shrimps scent smell,Olfactive,Quality
532,unable perceive odour prussic acid exists large proportion whether mixed water liquids others again peculiarly susceptible,prussic acid odour,Olfactive,Quality
237,not cases related numerous nor kindred type diseased action constitutional peculiarity may urged cause serious morbid affections produced evil effects nauseous exhalation confined,exhalation nauseous,Olfactive,Quality
276,not only musk cherished perfume islamic world special favorite prophet greatly delighted perfumes perceiver anaphoric love location world location reported said old age women location anaphoric perfumes smellword only perfume generally used women land refinements life carried far japan received chinese moreover musk still popular european perfumes,cherished only popular european musk musk perfume perfumes perfume perfumes,Olfactive,Quality
294,niieke mentions colleague informed prostitute several clients desired odor new shoes room accustomed obtain desired perfume holding shoes moment flame spirit lamp,desired new shoes odor perfume,Olfactive,Quality
125,also brown sort appears mealy substance sells near well second sort colour taste smell inside appears glassy solid generally less lumps,smell,Olfactive,Quality
111,yeleow saunders,yeleow saunders,Olfactive,Quality
593,putrefactive substances disagreeable odors flavors — complete discussion compounds capable affecting flavor aroma may formed nitrogenous food would include discussion practically decomposition products formed,disagreeable putrefactive substances odors,Olfactive,Quality
517,leaf flower perfume depends essential oil different states conditions,oil leaf flower perfume essential,Olfactive,Quality
497,ambergris must well rubbed mortar degrees two pounds powder either white grey must added till ambergris thoroughly incorporated powder sift hair sieve mix three powders together,three powders,Olfactive,Quality
472,perfumers valuable assistant possessing highest degree fresh floral fragrance renders highly useful compounds,fresh floral fragrance,Olfactive,Quality
376,colourless pale yellow recent gradually becoming darker odour fruit spicy somewhat acrid taste,odour,Olfactive,Quality
45,tasted water butt no strongly impregnated flavour drainage,water butt flavour drainage impregnated,Olfactive,Quality
167,smell onely neuer certaintie collected informe iudgements concerning disease,smell,Olfactive,Quality
570,amend taste smell malaga,malaga smell,Olfactive,Quality
144,found natural smell much supportable used perfumes immediately swooned away,natural much supportable smell perfumes,Olfactive,Quality
142,absent hearing small white spaniel belonged one chief gardeners got accident garden happened range near place lay dog following scent came directly taking mouth ran straight master wagging tail set gently ground,scent,Olfactive,Quality
47,entered one stench sitting room worse privy,worse privy stench,Olfactive,Quality
549,whereby vnderstand no hot reeking dung filthy stinking carcasse cast chanell odious sight smell impenitent sinner sight nostrels god angels,hot filthy odious dung carcasse reeking stinking smell,Olfactive,Quality
489,italian snuffs put mortar convenient vestel quantity snuff already scented flower pour little white wine add agreeable essence ambergrise musk perfume like best stir snuff rub well hands,snuff agreeable flower ambergrise musk scented essence perfume,Olfactive,Quality
534,facts appear explain — called case poisoning acid examination body medical men perceive odour others not,odour,Olfactive,Quality
311,nature origin pulmonary fetor fetid bronchitis bronchorrhoea,pulmonary bronchitis bronchorrhoea fetor fetid,Olfactive,Quality
495,no rilk using sieve retains scent flower perfume snuff flavour musk ambergrise perfume,sieve snuff flower flavour musk ambergrise perfume scent perfume,Olfactive,Quality
503,pleasant perfume take drachm musk four cloves four ounces lavenderseed drachm half civet half drachm ambergris heat pestle mortar rub musk cloves lavenderseeds together lump loaf sugar wineglass full angelic rosewater,pleasant musk four cloves four ounces lavenderseed drachm half civet half drachm ambergris musk cloves lavenderseeds lump loaf sugar wineglass full angelic rosewater perfume,Olfactive,Quality
251,seems highly probable especially emphasized hagen perfumes primitively used women not sometimes case civilization idea disguising possible natural odor object heightening fortifying natural odor,perfumes,Olfactive,Quality
416,odour accompanies electrolyzation water observes only disengaged positive electrode,odour,Olfactive,Quality
187,strong bitters aromatick wormwood eupatorium cannabinum work volatile oyl salt blood stomach whence accounted antidotes against coagulations venoms pestilential infections,strong bitters wormwood eupatorium cannabinum aromatick,Olfactive,Quality
35,june one oclock pm unpleasant smell vapour linseed oil extended considerable distance round arches occupied messrs,vapour unpleasant linseed oil smell,Olfactive,Quality
180,horseradish leaves bottled water two months smelling like garlick well pungent taste quick flying nose eyes like salammoniack conclude cepaceous kind would properly constitute second degree volatile salts much stronger former,like garlick horseradish leaves smelling,Olfactive,Quality
93,costus dulcis aromatic firm root resembling spikenard smell little use,resembling spikenard costus dulcis aromatic smell,Olfactive,Quality
510,odour true newmown hay due sweetscented grass known anthoxanthum odoratum grass although many others contribute,true newmown hay grass anthoxanthum odoratum odour sweetscented,Olfactive,Quality
558,burn incense no breath might smell,incense smell,Olfactive,Quality
574,experienced brewer sensitive smell able judge even walking brewhouse whether not trim again repeat no man not sensitive smell taste good brewer,sensitive sensitive smell smell,Olfactive,Quality
547,wicked vngodly sinner lying stinking pleasures truely swine wallowing filthy puddle filthy aswine gluttonous swine delighting dirt swine not smelling stinke sin swine doth stinke dirt wallowes,pleasures sin dirt stinking smelling stinke stinke,Olfactive,Quality
581,rubbish allowed accumulate attempt made burn quantity fire goes unpleasant odour created,unpleasant odour,Olfactive,Quality
131,rhubarb,rhubarb,Olfactive,Quality
84,concrete gummy substance strong faetid smell resembling onions rather shallots small drops tears packt forms massy lump,onions shallots strong faetid smell,Olfactive,Quality
357,possibly faecal odour may excretion first observed case not originate socalled metastasis noted state faeces odour observed no change,faecal excretion faeces odour odour,Olfactive,Quality
68,dealing fact primitive protective impulse ensure evilsmelling things shall not swallowed means adopted nature prevent ingestion accidentally occurred reverse prompt,things evilsmelling,Olfactive,Quality
553,deckt pearles precious stones smells strong aegypt,aegypt strong smells,Olfactive,Quality
573,first always foetid odour highly vinous pungent aromatic,foetid highly vinous pungent aromatic first odour,Olfactive,Quality
62,noisome smell people imagine deadly pestilence probably because patients affected epidemic diseases smallpox typhus diphtheria give nauseating odours,noisome nauseating patients affected epidemic diseases smell odours,Olfactive,Quality
23,stench great several inmates houses applied personally get abated,great stench,Olfactive,Quality
505,civet put end hot pestle rub well handful powder add little little fix pounds powder sift whole hair sieve incorporate perfumed powder,powder perfumed,Olfactive,Quality
67,naturally close intimate connection sense smell nervecentres stimulated evoke feeling nausea mind—and bodily acts follow,smell,Olfactive,Quality
279,fact connected evergrowing refinement accordance specific odors sexual regions human beings tend lose primitive attractiveness bodily odors generally become mingled artificial perfumes disguised,specific bodily artificial sexual regions human beings odors odors perfumes,Olfactive,Quality
562,euen smell conduit conveyed vnto vs dilated fountaine gods mercie doe apprehend varieties flowers sootes sweetes moued philosopher terme sence harbinger spring,smell,Olfactive,Quality
381,pale yellow colourless odour fruit mild aromatic taste,odour,Olfactive,Quality
352,allied offensive odour forms rheumatic fever cases acute recuitcnt attacks leprous inflammation skin paroxysm terminates copious plastic exudation cutaneous cellular tissue,offensive odour,Olfactive,Quality
105,spikenard,spikenard,Olfactive,Quality
452,oil greenishyellow mobile lighter water peculiar odour sweet aromatic huining taste,peculiar odour,Olfactive,Quality
359,no doubt sulphur predominant albeit not exclusive constituent fetid volatile changes,sulphur fetid,Olfactive,Quality
20,factories full activity month december july stores stinking ingredients used manufacturers give permanent smell parts street mixing goes action sulphuric acid upon animal vegetable matter gives stench occasioned headache nausea vomiting cough inmates houses adjacent factories,stinking permanent ingredients smell stench,Olfactive,Quality
386,oil eucalyptus,oil eucalyptus,Olfactive,Quality
338,cases plastic bronchitis run course almost identical cases fetid bronchopneumonia,bronchopneumonia fetid,Olfactive,Quality
372,pale blue greenishblue gradually becoming yellowish brown peculiar aromatic taste odour flowers,odour,Olfactive,Quality
17,rape linseed fall bags ground unpaved lie rot shower rain stench offensive,offensive stench,Olfactive,Quality
28,although weather cold time examinations accumulation solid sewage settlings quarter century exhaled faint sickening smell,faint sickening accumulation solid sewage smell,Olfactive,Quality
157,nay farre stinking smell giuing vs particular notice disease cannot much affoord vs certaine generall knowledge,stinking smell,Olfactive,Quality
567,first buds ribes nigra infused wines especially rhenish makes diuretick fragrant smell taste doth clary,fragrant buds ribes nigra smell,Olfactive,Quality
162,would necessarily follow whosoeuer seised feauer proceeding putrefaction humours voyd stinking vrines false,stinking vrines,Olfactive,Quality
