,clean_sentence,clean_token,ref_type,original_ref_type
530,say similar bitter almond common impression,similar bitter almond,Olfactive,Quality
372,pale blue greenish blue gradually yellowish peculiar aromatic taste odor flower,odor,Olfactive,Quality
225,narcotic heavy offensive smell poppy solanum sweet heady smell root bear ear,heavy offensive sweet heady narcotic poppy solanum root bear ear smell smell,Olfactive,Quality
88,true surprising odoriferous fragrant smell pungent agreeable bitter astringent taste turbid thickish consistence yellowish color little come year stranger cautious buy specie turpentine mix,odoriferous fragrant smell,Olfactive,Quality
336,far anatomical change observe fetid pulmonary disease manifestly fibrinous exudation degeneration short observe acute chronic tissue change rheumatic origin,pulmonary disease fetid,Olfactive,Quality
93,cost duck aromatic firm root resemble spikenard smell little use,resemble spikenard cost duck aromatic smell,Olfactive,Quality
236,turpentine balsam aromatic smell peruvian storax herb boy fragrant terebinthine smell juniper cedar sassafra oil turpentine easily extract fragrant owl vegetable frequently mix sophistication argue differ turpentine mix latent acid pure acid ethereal odoriferous root valerian smell turpentine flower essay little dry,turpentine essay oil turpentine aromatic fragrant terebinthine turpentine storax herb sassafra owl turpentine root flower smell smell fragrant odoriferous smell,Olfactive,Quality
569,inconvenience wine heady eld flower add clary remedy better fragrance thereof manifest elder vinegar flower apt wine ropy,eld flower fragrance,Olfactive,Quality
46,hot weather heap exhale smell offensive inmate neighboring house,offensive heap smell,Olfactive,Quality
551,ungodly respect choke smell rose chew meat profitable service voluptuous carnal man world good godly thing doth choke ruminate consider law good work piety religion soul,rose smell,Olfactive,Quality
334,ulceration nasal cartilage rodent fibroid ulcer offensive discharge odor smell decompose pus ordinary ulcer,smell decompose pus ordinary ulcer odor,Olfactive,Quality
277,perfume contain musk state know book art perfumery sell well,perfume,Olfactive,Quality
27,place ditch filthy state cast month effluvium arise cause great annoyance neighborhood,effluvium,Olfactive,Quality
568,wine sweet add spirit wine pound hogshead cask strong scent,cask strong spirit wine scent,Olfactive,Quality
296,savage perfuming body practice object induce love partner,body perfume,Olfactive,Quality
162,necessarily follow seize fearer proceeding putrefaction humor void stink vine false,stink vine,Olfactive,Quality
44,slight effluvium sulphurous gas give long extend building,slight sulphurous gas effluvium,Olfactive,Quality
91,civet,civet,Olfactive,Quality
492,snuff canister closely stop prevent scent exhaling,scent,Olfactive,Quality
129,,,Olfactive,Quality
416,odor accompany electrolyzation water observe disengage positive electrode,odor,Olfactive,Quality
315,odor breath case fetid abscess,breath abscess odor fetid,Olfactive,Quality
285,interesting novel deal adventure jewish maiden xerxe title find way old testament tell customary royal harem submit woman prolonged course perfuming admit king,woman perfume,Olfactive,Quality
94,odorous sweet cane,odorous sweet cane,Olfactive,Quality
126,sort brown red dirty small frequently mixed ordinary inferior gum mixed contract smell flavor true gum,true gum smell,Olfactive,Quality
204,taste join fetid smell make contrary aromatic,smell,Olfactive,Quality
526,air time moist fugitive body scent suspend air go great additional aid dog,fugitive body scent,Olfactive,Quality
472,perfumer valuable assistant possess high degree fresh floral fragrance render highly useful compound,fresh floral fragrance,Olfactive,Quality
375,oil distil caraway fruit,caraway fruit,Olfactive,Quality
243,time minister church witness depone time feel smell offensive high degree ground marionville south house insomuch sicken particularly foot garden feel offensive smell sicken l unwell day,offensive high degree offensive smell smell,Olfactive,Quality
495,risk sieve retain scent flower perfume snuff flavor musk perfume,sieve snuff flower flavor musk perfume scent perfume,Olfactive,Quality
500,form scented pastil roll bit paste shape cone stand upright set dry,pastil scent,Olfactive,Quality
459,perfume great sort flower,snuff great sort flower perfume,Olfactive,Quality
468,manner perfuming snuff flower,snuff flower perfume,Olfactive,Quality
89,junior,cassia junior,Olfactive,Quality
100,sagapenum procure fetch good price measure resemble asafetida tear smell garlic instead onion,measure resemble asafetida garlic smell,Olfactive,Quality
67,naturally close intimate connection sense smell nerve centre stimulate evoke feeling nausea midland bodily act follow,smell,Olfactive,Quality
14,albion street rain pool stagnant water hot weather disagreeable stench arise,disagreeable pool stagnant water stench,Olfactive,Quality
567,bud ride night infuse wine especially rhenish make diuretic fragrant smell taste doth clary,fragrant bud ride night smell,Olfactive,Quality
462,sort sieve thin thick cloth accord coarseness cloth grain snuff pass search perfume flower,flower perfume,Olfactive,Quality
185,milky resinous exulcerator oil fix join acid acrid salt tithymalus eula smell acid hot scent,acid hot milky resinous exulcerator tithymalus eula smell scent,Olfactive,Quality
193,bitter nauseous sweet gall overmuch sweet bitter impregnate papillae mouth stomach cause aversion stomach light offend eye make water,sweet gall nauseous,Olfactive,Quality
170,stink vine come mean,vine stink,Olfactive,Quality
187,strong bitter aromatic wormwood eupatorium cannabin work volatile oil salt blood stomach account antidote coagulation venom pestilential infection,strong bitters wormwood eupatorium cannabin,Olfactive,Quality
431,adriatic acid,adriatic acid,Olfactive,Quality
34,strong acid smell pervade atmosphere neighborhood factory mixing go,atmosphere strong acid smell,Olfactive,Quality
147,secondly instrument smell place deeply head creature,smell,Olfactive,Quality
574,experienced brewer sensitive smell able judge walk brewhouse trim repeat man sensitive smell taste good brewer,sensitive sensitive smell smell,Olfactive,Quality
566,let pygmalion dote picture narcissus shape niobe numerous progeny taste taste sweet touch apprehension love sight contemplation glory accent praise smell repose fire pleasant pasture word,smell,Olfactive,Quality
203,astringent aromatic cordial astringency strengthen fire stomach membrane nervous part acid evident astringency hinder great rarefaction blood fragrant pungent oil,fragrant pungent astringent oil,Olfactive,Quality
311,nature origin pulmonary fetor fetid bronchitis bronchorrhoea,bronchorrhoea fetor,Olfactive,Quality
265,state know woman natural odor musk frequently sufficiently strong impart bath hour perfume entirely exhalation musky body add gallop enthusiast matter,natural sufficiently strong musk ambergris odor,Olfactive,Quality
178,strong bitter fetid odor ballot bitterness correct acid stomach blood fetidness amend acid nervous juice cause equal expansive motion spirit prevent unequal distribution nerve fit convulsion,fetid ballot odor fetidness,Olfactive,Quality
454,comminuted herb soak water expose sun acquire offensive odor liquid distilled distillate saturate common salt flock separate collect filter dissolve ether ether slowly evaporate,offensive comminuted herb odor,Olfactive,Quality
317,case liken delicate scent decay apple case,delicate decay apple scent,Olfactive,Quality
365,oil distil anise fruit star anise fruit,star anise fruit,Olfactive,Quality
552,let stand amazed pageantry false church value whore bravery,whore,Olfactive,Quality
558,burn incense breath smell,incense smell,Olfactive,Quality
532,unable perceive odor prussic acid exist large proportion mix water liquid peculiarly susceptible,prussic acid odor,Olfactive,Quality
244,beauty surround natural scenery delight fancy green verdure eye insupportable odor present atmosphere inevitably destroy dissipate enjoyment,atmosphere insupportable odor,Olfactive,Quality
180,horseradish leave bottle water month smell garlic pungent taste quick fly nose eye sal ammoniack conclude ceraceous kind properly constitute second degree volatile salt strong,garlic horseradish leave smell,Olfactive,Quality
4,hippocrate ad spider canon city thessalian arise putrid ulcer pustule carbuncle hot constitution,ulcer pustule putrid,Olfactive,Quality
425,agreeable flavor produce fermentation extract chalk oil vitriol affect mouth nostril pungency peculiarly pleasing certain degree person easily satisfy cause experiment,peculiarly pleasing pungency,Olfactive,Quality
202,taste spread plant bitterness depend fix oil terebinth aromatic salt,salt aromatic,Olfactive,Quality
401,peculiar long winged iteliconinse glade scent organ male situate anal valve female place dorsal abdominal extremity scent brush conclusion draw figure volume foreign butterfly belong naturalist library series,organ scent scent brush,Olfactive,Quality
15,drainage dwelling run open wooden trough floor low room discharge sort pigeonhole wall street neighbor passenger complain stench generate drainage stagnate pavement gutter,drainage stagnate pavement gutter stench,Olfactive,Quality
393,small white butterfly belong male accord redolent thyme exotic fraternity scent describe,white butterfly thyme redolent scent,Olfactive,Quality
7,natural life spiritual nourish odor saviour,odor,Olfactive,Quality
557,proceed bag bat heart produce offend cattle perfumed manner offer bloody hand pure understanding kill destroy sacrifice live,manner perfume,Olfactive,Quality
524,exudation foot require combine shoe leather brown paper stop transmission scent,scent,Olfactive,Quality
267,musk odor animal give specifically sexual odor chiefly emit sexual season,sexual musk odor odor,Olfactive,Quality
40,yard respect clean orderly perceive foul smell observe pool stagnant water statement bear testimony surveyor officer vestry,foul pool stagnant water smell,Olfactive,Quality
197,effect aromatic body warm stomach discuss wind constitute class sweet aromatic fennil taste account carminative rarefy fatuous exhalation chyle prime vice discuss,exhalation chyle fatuous,Olfactive,Quality
525,opinion dog go foot scent ground body scent scent think reason track evening night easy dog,foot body scent scent scent,Olfactive,Quality
200,effect produce saline pungent oil alter acid gland brain correct attenuate lymph succuss nervous glandulous humor prone stagnation acidity aromatic exciting motion correct acidifie render succuss nervous volatile deserve cephalic improbable volatile part dispose medicine circulate brain windy liquor disturb head,saline oil cephalic pungent aromatic,Olfactive,Quality
66,point objection bad smell precede scientific discovery beginning slender support rationalism,bad smell,Olfactive,Quality
306,odor sufficient proof independently distillation temperature far add ordinary pulmonary vapor collect keep quickly fetid condense vapor window room crowd people smell offensively high temperature exceed,offensively ordinary pulmonary vapor condense vapor odor fetid smell,Olfactive,Quality
258,musk odor considerable strength widely distribute nature alike animal plant,considerable strength musk odor,Olfactive,Quality
