,clean_sentence,clean_token,ref_type,original_ref_type
403,seizing one butterflies either sex pushes fourth fifth segment abdomen two hemispherical protuberances producing disagreeable odour male second pair fifth sixth segments abdomen different musklike odour produced black spot beneath front wings,musklike disagreeable two hemispherical protuberances black spot beneath front wings odour odour,Olfactive,Quality
598,haue nine ten seuerall colours diuers big roses flowers saue damaske rose pleasant sight smell last not past three foure yeeres vnremoued,pleasant smell,Olfactive,Quality
138,organ smell irritated perfume lacrymal sack empties nostrils explained increase tears poured eyes,perfume,Olfactive,Quality
294,niieke mentions colleague informed prostitute several clients desired odor new shoes room accustomed obtain desired perfume holding shoes moment flame spirit lamp,desired new shoes odor perfume,Olfactive,Quality
520,readily seen nighttime favourable retention scent evaporation not take place rapidly course shown dogs especially useful time,scent,Olfactive,Quality
37,men making manure open vessels smell street offensive remarks thereon uttered almost every passenger,offensive manure open vessels smell,Olfactive,Quality
543,closet stink like pothecaries shop drugs medicines administer sick neighbours spoil next quacks practice receipt book belongs family,like pothecaries shop drugs medicines closet stink,Olfactive,Quality
406,passing burnet kind like incarnation union night day males exotic glaucopidae two long retractable filaments generally beset hairs ventral side abdomen sometimes emitting strong odour,strong hairs odour,Olfactive,Quality
509,invariably based coumarin modified lavender bergamot perfumes according exact note perfumer wishes give product,lavender bergamot perfumes,Olfactive,Quality
586,indol methyl indol skatol commonly formed native proteins peptones absence carbohydrates many organisms,indol methyl indol skatol,Olfactive,Quality
84,concrete gummy substance strong faetid smell resembling onions rather shallots small drops tears packt forms massy lump,onions shallots strong faetid smell,Olfactive,Quality
112,pale yellowish wood pleasant smell bitterish aromatic taste leaves agreeable kind pungency generally brought large thick logs care taken quite sound solid,pleasant smell,Olfactive,Quality
345,remarks refer chiefly cases pulmonary fetor changes structure observed,pulmonary fetor,Olfactive,Quality
569,inconvenience wine becomes heady elder flowers added clary remedy also betters fragancy thereof ’ tis manifest eldervinegar flowers apt make wine ropy,elder flowers fragancy,Olfactive,Quality
531,however difference odours difference not perceptible senses only practical point requiring notice diluted odour bitter almonds would probably pronounced many persons indicate presence prussic acid especially existed suspicion violent death,prussic acid diluted bitter almonds odours odour,Olfactive,Quality
203,aromatickastringents aromaticks cordial astringency strengthen fibres stomach membranes nervous parts acid evident astringency hinder greater rarefaction blood fragrant pungent oyl,fragrant pungent aromatickastringents oyl,Olfactive,Quality
493,spanish snuff fine redish colour imitate nicely take best dutch snuff well cleansed granulated coloured red beat fine sift fine lawn sieve,best dutch snuff,Olfactive,Quality
558,burn incense no breath might smell,incense smell,Olfactive,Quality
534,facts appear explain — called case poisoning acid examination body medical men perceive odour others not,odour,Olfactive,Quality
207,fetor highest degree also volatile salt admixt proved excrements animals putrefied flesh rine blood putrefied vegetables yield volatile salt,highest degree excrements animals putrefied flesh rine blood putrefied vegetables fetor,Olfactive,Quality
503,pleasant perfume take drachm musk four cloves four ounces lavenderseed drachm half civet half drachm ambergris heat pestle mortar rub musk cloves lavenderseeds together lump loaf sugar wineglass full angelic rosewater,pleasant musk four cloves four ounces lavenderseed drachm half civet half drachm ambergris musk cloves lavenderseeds lump loaf sugar wineglass full angelic rosewater perfume,Olfactive,Quality
130,concrete gummy rosinous juice produce persia best brought home way east indies reddish orangecoloured drops tears broke inside appears pale yellow intermixed white specks fragrant smell something like sellery roots pleasant bitter acrid taste,something like sellery roots fragrant smell,Olfactive,Quality
517,leaf flower perfume depends essential oil different states conditions,oil leaf flower perfume essential,Olfactive,Quality
125,also brown sort appears mealy substance sells near well second sort colour taste smell inside appears glassy solid generally less lumps,smell,Olfactive,Quality
450,also proper perfume distinguishing smell urine,urine proper distinguishing perfume smell,Olfactive,Quality
20,factories full activity month december july stores stinking ingredients used manufacturers give permanent smell parts street mixing goes action sulphuric acid upon animal vegetable matter gives stench occasioned headache nausea vomiting cough inmates houses adjacent factories,stinking permanent ingredients smell stench,Olfactive,Quality
4,hippocrates epidem saith cranon citie thessalie arose putrid vlcers pustuls carbuncles hot moyst constitution ayre,vlcers pustuls putrid,Olfactive,Quality
169,yet purpose practise point wish go arabians haue written curiously concerning point may regard aromaticall drugs vrines may better taste europaeans feed grosser food,drugs aromaticall,Olfactive,Quality
115,also cassia lignea bright colour good shape little no smell taste breaking handful sticks ascertain quality almost well tasting fine smell always strong taste,little fine cassia lignea smell smell,Olfactive,Quality
9,noble man came visit us would cleanse perfume houses,perfume,Olfactive,Quality
418,only metals yield odour gold platina dilute sulphuric phosphoric nitric acids aqueous solutions several salts also disengage,gold platina dilute sulphuric phosphoric nitric acids aqueous solutions several salts odour,Olfactive,Quality
177,matrix embraceth meeteth sweet odours perfumes unsavory stinking sents abhors flies tis certaine truth every creature even naturall instinct shunneth inconveniences affecteth things convenient,sweet unsavory stinking odours perfumes sents,Olfactive,Quality
327,must express doubt however cases tubercular phthisis never observed faecal odour cases,faecal odour,Olfactive,Quality
366,oil spearmint,oil spearmint,Olfactive,Quality
32,ditch clean without smell receives drainage ten small houses,ditch smell,Olfactive,Quality
408,thus male death shead moth point squeaking fingers abdomen inflates sessile pencil yellow hair starts fold dorsal ventral arcs base plate v fig expanding stellate form swift whirling motion like trundled mop fig immediately arises oily volatile effluvia resembling scent jessamines soon becoming nauseous,jessamines oily volatile nauseous effluvia scent,Olfactive,Quality
120,galbanum,galbanum,Olfactive,Quality
157,nay farre stinking smell giuing vs particular notice disease cannot much affoord vs certaine generall knowledge,stinking smell,Olfactive,Quality
214,divers bitters fetid stinking horehound eldersmells scrophularia bitterfetid stinking gums bitter well acrid fetid,fetid bitterfetid stinking acrid fetid stinking horehound scrophularia gums eldersmells,Olfactive,Quality
68,dealing fact primitive protective impulse ensure evilsmelling things shall not swallowed means adopted nature prevent ingestion accidentally occurred reverse prompt,things evilsmelling,Olfactive,Quality
170,stinking vrines come foure seuerall meanes,vrines stinking,Olfactive,Quality
168,afraid reader take ill long detaine among vnpleasing smels selfe begin waxe wearie vnworthie thing neuer tooke pleasure leaue like better,vnpleasing smels,Olfactive,Quality
552,let none stand amazed pageantry false churches nor value whore rome because bravery,whore rome,Olfactive,Quality
525,opinion dog goes foot scent ground also body scent latter scent think another reason tracking evening night much easier dog,foot body scent scent scent,Olfactive,Quality
365,oil distilled europe anise fruit china staranise fruit,staranise fruit,Olfactive,Quality
283,said probably certain degree truth peau espagne perfumes nearly approaches odor woman skin whether also suggests odor leather not clear,peau espagne woman skin leather perfumes odor odor,Olfactive,Quality
191,nauseous taste depends sweet bitter mixed mucilage pungency aloes agarick rubarb docks want only sweetness bitter slimy subacrid astringency,aloes agarick rubarb nauseous,Olfactive,Quality
350,indeed know no intractable malady even stockings shoes changed two three times aday powerful scents used morbid stench still diffused,morbid stench,Olfactive,Quality
468,another manner perfuming snuff flowers,snuff flowers perfuming,Olfactive,Quality
436,let us therefore suppose person exercise sense smelling little experience discover nose organ sense air something air medium,smelling,Olfactive,Quality
